agent_id,source_agent_id,agent_name,agent_role,channel_id,agency_id,team_name,hire_date
AGT_00001,SRC_AGT_00001,Philippine Mace,SALES,CH_BRANCH,AGY_001,Equipe commerciale Paris,2014-04-17
AGT_00002,SRC_AGT_00002,Charles Deschamps-Bègue,SALES,CH_BRANCH,AGY_001,Equipe commerciale Paris,2014-01-29
AGT_00003,SRC_AGT_00003,Renée Michel,SERVICE,CH_CALL_CENTER,AGY_001,Equipe service Paris,2020-07-09
AGT_00004,SRC_AGT_00004,Matthieu Langlois,SERVICE,CH_CALL_CENTER,AGY_001,Equipe service Paris,2014-03-03
AGT_00005,SRC_AGT_00005,Caroline Moreno de Gautier,CLAIMS,CH_CALL_CENTER,AGY_001,Equipe sinistres Paris,2020-01-19
AGT_00006,SRC_AGT_00006,Daniel Pineau-Michaud,RETENTION,CH_RETENTION_OUTBOUND,AGY_001,Equipe retention Paris,2019-09-18
AGT_00007,SRC_AGT_00007,Michelle Leroy,HYBRID,CH_BROKER,AGY_001,Equipe courtage Paris,2017-12-06
AGT_00008,SRC_AGT_00008,Alex Colas,SALES,CH_BRANCH,AGY_002,Equipe commerciale Boulogne-Billancourt,2012-12-21
AGT_00009,SRC_AGT_00009,Andrée Marques,SALES,CH_BRANCH,AGY_002,Equipe commerciale Boulogne-Billancourt,2022-04-21
AGT_00010,SRC_AGT_00010,Julien Peltier,SERVICE,CH_CALL_CENTER,AGY_002,Equipe service Boulogne-Billancourt,2014-10-19
AGT_00011,SRC_AGT_00011,Thérèse Grenier,SERVICE,CH_CALL_CENTER,AGY_002,Equipe service Boulogne-Billancourt,2020-06-27
AGT_00012,SRC_AGT_00012,Bernard-Vincent Barbe,CLAIMS,CH_CALL_CENTER,AGY_002,Equipe sinistres Boulogne-Billancourt,2013-10-07
AGT_00013,SRC_AGT_00013,Honoré Muller,RETENTION,CH_RETENTION_OUTBOUND,AGY_002,Equipe retention Boulogne-Billancourt,2018-07-29
AGT_00014,SRC_AGT_00014,Célina Ruiz,HYBRID,CH_BROKER,AGY_002,Equipe courtage Boulogne-Billancourt,2020-02-10
AGT_00015,SRC_AGT_00015,Auguste Fernandez,SALES,CH_BRANCH,AGY_003,Equipe commerciale Saint-Denis,2016-04-24
AGT_00016,SRC_AGT_00016,Adèle Roche,SALES,CH_BRANCH,AGY_003,Equipe commerciale Saint-Denis,2013-07-23
AGT_00017,SRC_AGT_00017,Gabrielle-Dominique Paris,SERVICE,CH_CALL_CENTER,AGY_003,Equipe service Saint-Denis,2013-01-10
AGT_00018,SRC_AGT_00018,Michelle Carpentier,SERVICE,CH_CALL_CENTER,AGY_003,Equipe service Saint-Denis,2017-02-09
AGT_00019,SRC_AGT_00019,Nathalie Evrard,CLAIMS,CH_CALL_CENTER,AGY_003,Equipe sinistres Saint-Denis,2018-06-28
AGT_00020,SRC_AGT_00020,Michel Rousset Le Schmitt,RETENTION,CH_RETENTION_OUTBOUND,AGY_003,Equipe retention Saint-Denis,2013-10-15
AGT_00021,SRC_AGT_00021,René Gautier,HYBRID,CH_BROKER,AGY_003,Equipe courtage Saint-Denis,2017-03-22
AGT_00022,SRC_AGT_00022,Adélaïde Torres,SALES,CH_BRANCH,AGY_004,Equipe commerciale Lyon,2014-04-07
AGT_00023,SRC_AGT_00023,Monique Chauvet du Wagner,SALES,CH_BRANCH,AGY_004,Equipe commerciale Lyon,2020-07-10
AGT_00024,SRC_AGT_00024,Timothée Roussel,SERVICE,CH_CALL_CENTER,AGY_004,Equipe service Lyon,2018-03-27
AGT_00025,SRC_AGT_00025,Jacqueline Valentin Le Gauthier,SERVICE,CH_CALL_CENTER,AGY_004,Equipe service Lyon,2022-03-03
AGT_00026,SRC_AGT_00026,Grégoire Rodriguez,CLAIMS,CH_CALL_CENTER,AGY_004,Equipe sinistres Lyon,2020-03-07
AGT_00027,SRC_AGT_00027,Emmanuel-Jules Lagarde,RETENTION,CH_RETENTION_OUTBOUND,AGY_004,Equipe retention Lyon,2015-08-25
AGT_00028,SRC_AGT_00028,Célina Pires du Dupré,HYBRID,CH_BROKER,AGY_004,Equipe courtage Lyon,2020-04-20
AGT_00029,SRC_AGT_00029,Océane Meyer,SALES,CH_BRANCH,AGY_005,Equipe commerciale Grenoble,2019-12-20
AGT_00030,SRC_AGT_00030,Marianne Lemonnier,SALES,CH_BRANCH,AGY_005,Equipe commerciale Grenoble,2016-09-12
AGT_00031,SRC_AGT_00031,Astrid Denis-Morel,SERVICE,CH_CALL_CENTER,AGY_005,Equipe service Grenoble,2017-12-27
AGT_00032,SRC_AGT_00032,Rémy Lambert du Delahaye,SERVICE,CH_CALL_CENTER,AGY_005,Equipe service Grenoble,2013-08-07
AGT_00033,SRC_AGT_00033,Émilie Traore,CLAIMS,CH_CALL_CENTER,AGY_005,Equipe sinistres Grenoble,2015-11-02
AGT_00034,SRC_AGT_00034,Bernard Marie,RETENTION,CH_RETENTION_OUTBOUND,AGY_005,Equipe retention Grenoble,2023-12-24
AGT_00035,SRC_AGT_00035,Monique Rémy,HYBRID,CH_BROKER,AGY_005,Equipe courtage Grenoble,2017-06-28
