customer_id,source_customer_id,first_name,last_name,birth_date,gender,email,phone,geography_id,home_agency_id,acquisition_date,acquisition_channel_id,preferred_channel_id,employment_status,household_size,estimated_income_band,digital_profile,consent_email,consent_sms,consent_phone,customer_segment,risk_affinity_score,price_sensitivity_score,service_sensitivity_score,digital_engagement_score,loyalty_score,claim_propensity_score
CUST_00000001,SRC_CUST_00000001,Gilles,Lacroix,1992-10-24,M,gilles.lacroix.1@example.retainflow,+33684182651,GEO_GE_REIMS_51100,AGY_018,2021-07-28,CH_PARTNER,CH_EMAIL,EMPLOYED,1,LOWER_MID,MEDIUM,true,true,true,LOW_ENGAGEMENT,0.6944,0.5326,0.4806,0.5406,0.4546,0.7767
CUST_00000002,SRC_CUST_00000002,William,Aubry,1999-04-12,M,william.aubry.2@example.retainflow,+33717624274,GEO_IDF_BOULOGNE_92100,AGY_002,2022-08-21,CH_WEB,CH_MOBILE,EMPLOYED,1,MID,HIGH,true,false,false,LOW_ENGAGEMENT,0.4499,0.4094,0.2647,0.4595,0.9853,0.398
CUST_00000003,SRC_CUST_00000003,Zacharie,Rousseau,1978-06-07,M,zacharie.rousseau.3@example.retainflow,+33779028575,GEO_IDF_SAINT_DENIS_93200,AGY_003,2023-11-05,CH_BROKER,CH_MOBILE,RETIRED,4,LOW,HIGH,true,true,false,FAMILY_PROTECTOR,0.4089,0.2793,0.1043,0.5075,0.8556,0.6882
CUST_00000004,SRC_CUST_00000004,Thierry,Gay,1969-09-04,M,thierry.gay.4@example.retainflow,+33754776674,GEO_BFC_DIJON_21000,AGY_021,2021-03-18,CH_BRANCH,CH_BRANCH,RETIRED,2,LOWER_MID,LOW,true,true,true,LOW_ENGAGEMENT,0.2654,0.4306,0.3234,0.1573,0.832,0.7243
CUST_00000005,SRC_CUST_00000005,Agathe,Bouchet,1972-05-17,F,agathe.bouchet.5@example.retainflow,+33766231556,GEO_BFC_DIJON_21000,AGY_021,2023-09-14,CH_CALL_CENTER,CH_EMAIL,SELF_EMPLOYED,5,MID,MEDIUM,true,true,false,FAMILY_PROTECTOR,0.7711,0.2232,0.3205,0.576,0.4343,0.3218
CUST_00000006,SRC_CUST_00000006,Charles,Joubert,1992-08-20,M,charles.joubert.6@example.retainflow,+33735500356,GEO_IDF_PARIS_75015,AGY_001,2020-10-25,CH_CALL_CENTER,CH_MOBILE,EMPLOYED,3,MID,HIGH,true,true,false,DIGITAL_FIRST,0.3054,0.5624,0.0916,1.0,0.6234,0.1898
CUST_00000007,SRC_CUST_00000007,Véronique,Fischer,1966-10-08,F,véronique.fischer.7@example.retainflow,+33673265515,GEO_PACA_MARSEILLE_13008,AGY_006,2024-12-06,CH_BRANCH,CH_EMAIL,SELF_EMPLOYED,2,LOW,MEDIUM,true,false,true,LOW_ENGAGEMENT,0.4309,0.4961,0.3253,0.5242,0.4453,0.2306
CUST_00000008,SRC_CUST_00000008,Constance,Morel,2005-05-04,F,constance.morel.8@example.retainflow,+33683740385,GEO_NAQ_BORDEAUX_33000,AGY_010,2024-06-01,CH_WEB,CH_MOBILE,SELF_EMPLOYED,3,MID,HIGH,true,true,false,LOW_ENGAGEMENT,0.591,0.3007,0.2426,0.4871,0.6299,0.2012
CUST_00000009,SRC_CUST_00000009,Émilie,Reynaud,2001-08-19,F,émilie.reynaud.9@example.retainflow,+33701734166,GEO_NOR_ROUEN_76000,AGY_019,2021-05-10,CH_BRANCH,CH_MOBILE,EMPLOYED,4,UPPER_MID,HIGH,true,true,true,LOW_ENGAGEMENT,0.4519,0.0709,0.4315,0.4425,0.4369,0.6967
CUST_00000010,SRC_CUST_00000010,François,Pierre,1959-03-07,M,françois.pierre.10@example.retainflow,+33729976068,GEO_PACA_MARSEILLE_13008,AGY_006,2025-10-17,CH_CALL_CENTER,CH_CALL_CENTER,EMPLOYED,1,HIGH,LOW,true,true,true,HIGH_VALUE,0.7389,0.428,0.7796,0.3089,0.7177,0.5134
CUST_00000011,SRC_CUST_00000011,Camille,Normand,1973-10-08,F,camille.normand.11@example.retainflow,+33702106949,GEO_PACA_MARSEILLE_13008,AGY_006,2020-08-11,CH_BRANCH,CH_MOBILE,SELF_EMPLOYED,1,MID,HIGH,true,true,true,LOW_ENGAGEMENT,0.8021,0.232,0.5172,0.3424,0.5295,0.3063
CUST_00000012,SRC_CUST_00000012,Guy,Boulay,1989-10-10,M,guy.boulay.12@example.retainflow,+33725815152,GEO_HDF_AMIENS_80000,AGY_013,2021-10-05,CH_BRANCH,CH_EMAIL,RETIRED,1,LOWER_MID,MEDIUM,true,false,false,LOW_ENGAGEMENT,0.8342,0.3498,0.1526,0.3302,0.7708,0.3275
CUST_00000013,SRC_CUST_00000013,Paul,Chauveau,1987-01-22,M,paul.chauveau.13@example.retainflow,+33724010831,GEO_PACA_NICE_06000,AGY_007,2020-03-25,CH_BRANCH,CH_MOBILE,EMPLOYED,5,HIGH,HIGH,true,true,true,DIGITAL_FIRST,0.3316,0.2014,0.7091,0.9984,0.3554,0.5373
CUST_00000014,SRC_CUST_00000014,Stéphanie,Lopez,1962-01-10,F,stéphanie.lopez.14@example.retainflow,+33757554894,GEO_ARA_GRENOBLE_38000,AGY_005,2025-06-08,CH_BRANCH,CH_MOBILE,UNEMPLOYED,2,LOW,HIGH,true,true,true,PRICE_SENSITIVE,0.3175,0.892,0.5938,0.7554,0.3851,0.7726
CUST_00000015,SRC_CUST_00000015,Roland,Hamon,1990-11-03,M,roland.hamon.15@example.retainflow,+33781021460,GEO_BFC_DIJON_21000,AGY_021,2024-08-09,CH_CALL_CENTER,CH_EMAIL,EMPLOYED,5,LOW,MEDIUM,false,false,true,PRICE_SENSITIVE,0.2382,0.807,0.6603,0.2698,0.4306,0.4859
CUST_00000016,SRC_CUST_00000016,Françoise,Dumont,1968-04-13,F,françoise.dumont.16@example.retainflow,+33628629519,GEO_IDF_PARIS_75015,AGY_001,2021-02-15,CH_BROKER,CH_MOBILE,EMPLOYED,2,MID,HIGH,true,true,true,DIGITAL_FIRST,0.6343,0.6833,0.746,0.7606,0.7229,0.3342
CUST_00000017,SRC_CUST_00000017,Lucas,Delannoy,1993-05-27,M,lucas.delannoy.17@example.retainflow,+33729345041,GEO_BRE_RENNES_35000,AGY_014,2020-07-19,CH_BRANCH,CH_MOBILE,EMPLOYED,4,UPPER_MID,HIGH,true,false,true,PRICE_SENSITIVE,0.7452,0.7851,0.5124,0.8248,0.2886,0.3913
CUST_00000018,SRC_CUST_00000018,Pierre,Dupré,2001-01-10,M,pierre.dupré.18@example.retainflow,+33631170854,GEO_GE_STRASBOURG_67000,AGY_017,2024-06-15,CH_WEB,CH_MOBILE,EMPLOYED,2,HIGH,HIGH,false,true,false,PRICE_SENSITIVE,0.1751,0.8324,0.3346,1.0,0.028,0.1257
CUST_00000019,SRC_CUST_00000019,Paulette,Girard,1988-03-05,F,paulette.girard.19@example.retainflow,+33646841214,GEO_COR_AJACCIO_20000,AGY_022,2024-08-26,CH_MOBILE,CH_EMAIL,EMPLOYED,3,MID,MEDIUM,true,true,false,FAMILY_PROTECTOR,0.1304,0.6388,0.4071,0.3466,0.2616,0.6268
CUST_00000020,SRC_CUST_00000020,Zoé,Berthelot,1986-02-26,F,zoé.berthelot.20@example.retainflow,+33775748171,GEO_IDF_PARIS_75015,AGY_001,2021-04-10,CH_BRANCH,CH_MOBILE,EMPLOYED,2,UPPER_MID,HIGH,true,true,false,PRICE_SENSITIVE,0.6359,0.8064,0.6167,0.5509,0.5119,0.5547
CUST_00000021,SRC_CUST_00000021,Alexandrie,Gros,1982-09-12,F,alexandrie.gros.21@example.retainflow,+33674777585,GEO_PACA_NICE_06000,AGY_007,2024-10-14,CH_MOBILE,CH_EMAIL,RETIRED,2,LOWER_MID,MEDIUM,true,false,false,PRICE_SENSITIVE,0.517,0.9092,0.7932,0.346,0.732,0.3233
CUST_00000022,SRC_CUST_00000022,Catherine,Blanchard,1968-09-04,F,catherine.blanchard.22@example.retainflow,+33629766746,GEO_BRE_RENNES_35000,AGY_014,2023-06-19,CH_WEB,CH_EMAIL,EMPLOYED,3,HIGH,MEDIUM,true,true,true,FAMILY_PROTECTOR,0.8213,0.2013,0.822,0.6877,0.5088,0.1702
CUST_00000023,SRC_CUST_00000023,Michelle,Bègue,1988-07-17,F,michelle.bègue.23@example.retainflow,+33683288692,GEO_HDF_AMIENS_80000,AGY_013,2023-09-05,CH_BRANCH,CH_EMAIL,EMPLOYED,2,LOW,MEDIUM,true,false,true,LOW_ENGAGEMENT,0.7296,0.5883,0.5532,0.6817,0.5134,0.2149
CUST_00000024,SRC_CUST_00000024,Frédérique,Techer,1987-09-26,F,frédérique.techer.24@example.retainflow,+33611011950,GEO_PACA_NICE_06000,AGY_007,2020-11-04,CH_BRANCH,CH_MOBILE,EMPLOYED,3,LOWER_MID,HIGH,true,true,false,FAMILY_PROTECTOR,0.5792,0.4859,0.304,0.4802,0.4306,0.2433
CUST_00000025,SRC_CUST_00000025,Bernadette,Bourdon,1994-11-26,F,bernadette.bourdon.25@example.retainflow,+33634304376,GEO_IDF_BOULOGNE_92100,AGY_002,2021-12-07,CH_BRANCH,CH_MOBILE,EMPLOYED,3,LOW,HIGH,true,false,false,DIGITAL_FIRST,0.6101,0.5327,0.1749,0.8505,0.2621,0.2218
CUST_00000026,SRC_CUST_00000026,Nathalie,Dumont,1985-08-27,F,nathalie.dumont.26@example.retainflow,+33782081601,GEO_OCC_MONTPELLIER_34000,AGY_009,2022-05-27,CH_PARTNER,CH_MOBILE,EMPLOYED,2,LOWER_MID,HIGH,true,false,false,LOW_ENGAGEMENT,0.5193,0.687,0.612,0.6314,0.3044,0.2283
CUST_00000027,SRC_CUST_00000027,Gabriel,Rey,1992-02-01,M,gabriel.rey.27@example.retainflow,+33640136367,GEO_COR_AJACCIO_20000,AGY_022,2024-02-29,CH_WEB,CH_EMAIL,EMPLOYED,3,MID,MEDIUM,true,false,false,PRICE_SENSITIVE,0.6129,0.7514,0.5221,0.4961,0.0,0.2715
CUST_00000028,SRC_CUST_00000028,Véronique,Gaillard,1990-10-24,F,véronique.gaillard.28@example.retainflow,,GEO_IDF_PARIS_75015,AGY_001,2021-03-30,CH_WEB,CH_MOBILE,EMPLOYED,2,UPPER_MID,HIGH,true,true,true,LOW_ENGAGEMENT,0.5461,0.4393,0.54,0.5029,0.5174,0.3888
CUST_00000029,SRC_CUST_00000029,Corinne,Poulain,1981-07-03,F,corinne.poulain.29@example.retainflow,,GEO_GE_REIMS_51100,AGY_018,2022-03-28,CH_WEB,CH_EMAIL,EMPLOYED,4,UPPER_MID,MEDIUM,true,false,true,FAMILY_PROTECTOR,0.4471,0.1844,0.1606,0.2764,0.5588,0.2338
CUST_00000030,SRC_CUST_00000030,Julie,Bazin,1973-12-06,F,julie.bazin.30@example.retainflow,+33703881132,GEO_OCC_MONTPELLIER_34000,AGY_009,2025-01-05,CH_WEB,CH_MOBILE,EMPLOYED,3,LOW,HIGH,true,false,true,FAMILY_PROTECTOR,0.7896,0.695,0.3558,0.5529,0.5349,0.5476
CUST_00000031,SRC_CUST_00000031,Julien,Torres,2008-08-22,OTHER,julien.torres.31@example.retainflow,+33634449559,GEO_BRE_BREST_29200,AGY_015,2023-08-02,CH_WEB,CH_MOBILE,EMPLOYED,1,MID,HIGH,true,false,false,LOW_ENGAGEMENT,0.7851,0.5969,0.7448,0.5126,0.6473,0.3956
CUST_00000032,SRC_CUST_00000032,Valérie,Bertrand,1995-05-16,F,valérie.bertrand.32@example.retainflow,+33783875828,GEO_ARA_LYON_69003,AGY_004,2025-10-26,CH_MOBILE,CH_MOBILE,EMPLOYED,2,UPPER_MID,HIGH,true,true,true,LOW_ENGAGEMENT,0.6336,0.2976,0.3297,0.7012,0.5038,0.5088
CUST_00000033,SRC_CUST_00000033,Lucas,Charpentier,1986-08-20,M,lucas.charpentier.33@example.retainflow,+33775626591,GEO_PACA_NICE_06000,AGY_007,2025-10-10,CH_WEB,CH_EMAIL,EMPLOYED,1,MID,MEDIUM,false,false,true,LOW_ENGAGEMENT,0.2943,0.5902,0.274,0.5398,0.5554,0.1086
CUST_00000034,SRC_CUST_00000034,Isabelle,Bernard,2006-12-27,F,isabelle.bernard.34@example.retainflow,+33690294561,GEO_IDF_PARIS_75015,AGY_001,2023-03-28,CH_PARTNER,CH_MOBILE,EMPLOYED,3,LOW,HIGH,true,true,true,PRICE_SENSITIVE,0.4839,0.9754,0.4655,0.8147,0.1691,0.3702
CUST_00000035,SRC_CUST_00000035,Emmanuelle,Mathieu,1997-09-07,F,emmanuelle.mathieu.35@example.retainflow,+33777765153,GEO_PACA_NICE_06000,AGY_007,2020-04-19,CH_CALL_CENTER,CH_EMAIL,SELF_EMPLOYED,4,MID,MEDIUM,true,false,true,LOW_ENGAGEMENT,0.3972,0.5011,0.124,0.6447,0.4231,0.2318
CUST_00000036,SRC_CUST_00000036,Margaret,Schmitt,1969-09-23,F,margaret.schmitt.36@example.retainflow,+33629320287,GEO_BRE_BREST_29200,AGY_015,2022-10-06,CH_MOBILE,CH_EMAIL,RETIRED,1,LOWER_MID,MEDIUM,true,false,true,PRICE_SENSITIVE,0.3057,0.8213,0.5695,0.3785,0.8398,0.0879
CUST_00000037,SRC_CUST_00000037,Michelle,Berthelot,1987-08-21,F,michelle.berthelot.37@example.retainflow,+33649982432,GEO_IDF_BOULOGNE_92100,AGY_002,2021-07-17,CH_WEB,CH_MOBILE,EMPLOYED,1,LOW,HIGH,true,true,true,LOW_ENGAGEMENT,0.5442,0.5492,0.1634,0.6866,0.514,0.2195
CUST_00000038,SRC_CUST_00000038,Michelle,Bonneau,1984-12-20,F,michelle.bonneau.38@example.retainflow,+33788425779,GEO_BRE_RENNES_35000,AGY_014,2024-06-29,CH_WEB,CH_EMAIL,EMPLOYED,1,MID,MEDIUM,true,false,true,LOW_ENGAGEMENT,0.6644,0.3803,0.2278,0.2878,0.4327,0.185
CUST_00000039,SRC_CUST_00000039,Laurence,Peron,1984-06-23,F,laurence.peron.39@example.retainflow,+33616174747,GEO_GE_STRASBOURG_67000,AGY_017,2021-04-04,CH_WEB,CH_EMAIL,EMPLOYED,3,LOW,MEDIUM,true,false,true,PRICE_SENSITIVE,0.2787,0.8588,0.6225,0.1207,0.7455,0.6222
CUST_00000040,SRC_CUST_00000040,Rémy,Bazin,2003-09-07,M,rémy.bazin.40@example.retainflow,+33615151581,GEO_BRE_RENNES_35000,AGY_014,2024-03-18,CH_BRANCH,CH_MOBILE,EMPLOYED,2,LOW,HIGH,true,true,false,DIGITAL_FIRST,0.2797,0.2644,0.6378,0.8511,0.7718,0.3277
CUST_00000041,SRC_CUST_00000041,Patrick,Colin,1969-03-13,M,patrick.colin.41@example.retainflow,+33654582788,GEO_GE_STRASBOURG_67000,AGY_017,2025-11-05,CH_BRANCH,CH_EMAIL,UNEMPLOYED,3,LOWER_MID,MEDIUM,true,true,true,DIGITAL_FIRST,0.4282,0.2036,0.5207,0.7301,0.608,0.1633
CUST_00000042,SRC_CUST_00000042,Renée,Laurent,1988-06-07,F,renée.laurent.42@example.retainflow,+33711113535,GEO_IDF_BOULOGNE_92100,AGY_002,2020-10-25,CH_BRANCH,CH_MOBILE,UNEMPLOYED,1,LOWER_MID,HIGH,true,true,false,PRICE_SENSITIVE,0.3813,0.7719,0.811,0.7152,0.5276,0.2985
CUST_00000043,SRC_CUST_00000043,Geneviève,Ramos,1996-01-17,F,geneviève.ramos.43@example.retainflow,+33780934343,GEO_ARA_LYON_69003,AGY_004,2023-10-14,CH_PARTNER,CH_MOBILE,EMPLOYED,2,LOWER_MID,HIGH,true,true,false,DIGITAL_FIRST,0.2637,0.5105,0.8569,0.8226,0.5472,0.3573
CUST_00000044,SRC_CUST_00000044,Édouard,Costa,1989-02-22,M,édouard.costa.44@example.retainflow,+33745768693,GEO_BRE_RENNES_35000,AGY_014,2020-11-19,CH_WEB,CH_EMAIL,EMPLOYED,4,LOWER_MID,MEDIUM,false,false,true,PRICE_SENSITIVE,0.6835,0.8287,0.4672,0.2212,0.2522,0.5043
CUST_00000045,SRC_CUST_00000045,Margaux,Peron,2007-02-03,F,margaux.peron.45@example.retainflow,+33702005470,GEO_ARA_LYON_69003,AGY_004,2021-07-27,CH_MOBILE,CH_MOBILE,EMPLOYED,3,UPPER_MID,HIGH,true,false,true,DIGITAL_FIRST,0.7203,0.2434,0.2447,0.8234,0.8278,0.2864
CUST_00000046,SRC_CUST_00000046,Antoinette,Bourdon,1991-10-20,F,antoinette.bourdon.46@example.retainflow,+33628715177,GEO_PACA_MARSEILLE_13008,AGY_006,2025-09-29,CH_CALL_CENTER,CH_EMAIL,EMPLOYED,2,LOWER_MID,MEDIUM,true,true,true,DIGITAL_FIRST,0.4815,0.5124,0.4342,0.9012,0.3377,0.4156
CUST_00000047,SRC_CUST_00000047,Joseph,Alexandre,1990-12-03,M,joseph.alexandre.47@example.retainflow,+33709828109,GEO_OCC_MONTPELLIER_34000,AGY_009,2021-07-11,CH_BROKER,CH_MOBILE,EMPLOYED,5,LOWER_MID,HIGH,true,false,true,PRICE_SENSITIVE,0.5858,0.9127,0.2823,0.9412,0.5586,0.5584
CUST_00000048,SRC_CUST_00000048,Richard,Morel,1983-08-12,M,richard.morel.48@example.retainflow,+33782416786,GEO_OCC_TOULOUSE_31000,AGY_008,2025-12-28,CH_BRANCH,CH_MOBILE,EMPLOYED,2,MID,HIGH,true,true,true,DIGITAL_FIRST,0.668,0.3854,0.3783,0.9742,0.4879,0.4434
